"Label","OTUs","Genus","Morphology","MajorCategory","MorphoFunctionalGroup"
"mermas","Merulinidae_massive","Merulinidae","massive","Scleractinian","Hard coral_massive"
"mesart","Mesophyllum_articulated_calcareous","Mesophyllum","articulated_calcareous","Macroalgae","Macroalgae_articulated_calcareous"
"meuenc","Merulina_encrusting","Merulina","encrusting","Scleractinian","Hard coral_encrusting"
"meufol","Merulina_foliose","Merulina","foliose","Scleractinian","Hard coral_foliose"
"milarb","Millepora_arborescent","Millepora","arborescent","Scleractinian","Hard coral_arborescent"
"milbus","Millepora_bushy","Millepora","bushy","Scleractinian","Hard coral_bushy"
"milenc","Millepora_encrusting","Millepora","encrusting","Scleractinian","Hard coral_encrusting"
"monenc","Porites/Montipora_encrusting","Porites/Montipora","encrusting","Scleractinian","Hard coral_encrusting"
"monfol","Montipora_foliose","Montipora","foliose","Scleractinian","Hard coral_foliose"
"monmas","Montipora_massive","Montipora","massive","Scleractinian","Hard coral_massive"
"mycenc","Mycedium_encrusting","Mycedium","encrusting","Scleractinian","Hard coral_encrusting"
"mycfol","Mycedium_foliose","Mycedium","foliose","Scleractinian","Hard coral_foliose"
"nemenc","Nemanthus_encrusting","Nemanthus","encrusting","Other Sessile Invertebrates","Actiniaria_encrusting"
"neocof","Neomeris_corticated_foliose","Neomeris","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"nepbus","Nephthyigorgia_bushy","Nephthyigorgia","bushy","Octocoral","Soft coral_bushy"
"nettws","fish_net","fish.net","net","Other","Artificial Debris"
"neucom","Neurymenia_corticated_macrophyte","Neurymenia","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"nudoth","Nudibranch_spp","Nudibranch","spp","Other Mobile Invertebrates","Other mobile invertebrates"
"ochoth","Osteichthyes_other_life","Osteichthyes","other_life","Other Life","Fish"
"ophoth","Ophiuroidea_other_life","Ophiuroidea","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"othcca","others_cca","others.cca","cca","Crustose Coralline Algae","CCA"
"othoth","other_life","other.life","life","Other Sessile Invertebrates","Other sessile invertebrates"
"oulenc","Oulophyllia_encrusting","Oulophyllia","encrusting","Scleractinian","Hard coral_encrusting"
"oulmas","Oulophyllia_massive","Oulophyllia","massive","Scleractinian","Hard coral_massive"
"oustenc","Oulastrea_ encrusting","Oulastrea"," encrusting","Scleractinian","Hard coral_encrusting"
"oxyenc","Echinophyllia/Oxypora_encrusting","Echinophyllia/Oxypora","encrusting","Scleractinian","Hard coral_encrusting"
"oxyfol","Echinophyllia/Oxypora_foliose","Echinophyllia/Oxypora","foliose","Scleractinian","Hard coral_foliose"
"oxymas","Echinophyllia/Oxypora_massive","Echinophyllia/Oxypora","massive","Scleractinian","Hard coral_massive"
"pacenc","Pachyseris_encrusting","Pachyseris","encrusting","Scleractinian","Hard coral_encrusting"
"pacfol","Pachyseris_foliose","Pachyseris","foliose","Scleractinian","Hard coral_foliose"
"padcof","Padina_corticated_foliose","Padina","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"pagenc","Paragoniastrea_encrusting","Paragoniastrea","encrusting","Scleractinian","Hard coral_encrusting"
"pagmas","Paragoniastrea_massive","Paragoniastrea","massive","Scleractinian","Hard coral_massive"
"pagoth","Paguroidea_other_life","Paguroidea","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"palenc","Palythoa_encrusting","Palythoa","encrusting","Other Sessile Invertebrates","Zoanthid_encrusting"
"palmas","Palythoa_encrusting","Palythoa","encrusting","Other Sessile Invertebrates","Zoanthid_encrusting"
